pokemon_id,pokemon_name,move_id,move_name,learn_method,level_learned_at,source_version_group
4,Charmander,154,Fury Swipes,level-up,18,lets-go-pikachu-lets-go-eevee
4,Charmander,163,Slash,level-up,20,sword-shield
4,Charmander,225,Dragon Breath,level-up,12,sword-shield
4,Charmander,232,Metal Claw,level-up,13,firered-leafgreen
4,Charmander,394,Flare Blitz,level-up,40,sword-shield
4,Charmander,424,Fire Fang,level-up,17,sword-shield
4,Charmander,481,Flame Burst,level-up,28,black-white
4,Charmander,517,Inferno,level-up,36,sword-shield
5,Charmeleon,10,Scratch,level-up,1,brilliant-diamond-shining-pearl
5,Charmeleon,52,Ember,level-up,1,lets-go-pikachu-lets-go-eevee
5,Charmeleon,53,Flamethrower,level-up,30,sword-shield
5,Charmeleon,83,Fire Spin,level-up,33,lets-go-pikachu-lets-go-eevee
5,Charmeleon,99,Rage,level-up,20,gold-silver
5,Charmeleon,154,Fury Swipes,level-up,20,lets-go-pikachu-lets-go-eevee
5,Charmeleon,163,Slash,level-up,24,sword-shield
5,Charmeleon,225,Dragon Breath,level-up,12,sword-shield
5,Charmeleon,232,Metal Claw,level-up,13,firered-leafgreen
5,Charmeleon,394,Flare Blitz,level-up,54,sword-shield
5,Charmeleon,424,Fire Fang,level-up,19,sword-shield
5,Charmeleon,481,Flame Burst,level-up,32,black-white
5,Charmeleon,517,Inferno,level-up,48,sword-shield
6,Charizard,10,Scratch,level-up,1,sun-moon
6,Charizard,17,Wing Attack,level-up,0,sun-moon
6,Charizard,52,Ember,level-up,1,sun-moon
6,Charizard,53,Flamethrower,level-up,30,sword-shield
6,Charizard,83,Fire Spin,level-up,33,lets-go-pikachu-lets-go-eevee
6,Charizard,99,Rage,level-up,20,gold-silver
6,Charizard,154,Fury Swipes,level-up,20,lets-go-pikachu-lets-go-eevee
6,Charizard,163,Slash,level-up,24,sword-shield
6,Charizard,225,Dragon Breath,level-up,12,sword-shield
6,Charizard,232,Metal Claw,level-up,1,firered-leafgreen
6,Charizard,242,Crunch,level-up,1,lets-go-pikachu-lets-go-eevee
6,Charizard,257,Heat Wave,level-up,1,brilliant-diamond-shining-pearl
6,Charizard,337,Dragon Claw,level-up,1,scarlet-violet
6,Charizard,394,Flare Blitz,level-up,1,sun-moon
6,Charizard,403,Air Slash,level-up,0,sword-shield
6,Charizard,421,Shadow Claw,level-up,1,sun-moon
6,Charizard,424,Fire Fang,level-up,19,sword-shield
6,Charizard,481,Flame Burst,level-up,32,black-white
6,Charizard,517,Inferno,level-up,54,sword-shield
7,Squirtle,29,Headbutt,level-up,36,lets-go-pikachu-lets-go-eevee
7,Squirtle,33,Tackle,level-up,1,red-blue
7,Squirtle,44,Bite,level-up,12,sword-shield
7,Squirtle,55,Water Gun,level-up,3,sword-shield
7,Squirtle,56,Hydro Pump,level-up,33,sword-shield
7,Squirtle,61,Bubble Beam,level-up,27,lets-go-pikachu-lets-go-eevee
7,Squirtle,130,Skull Bash,level-up,31,diamond-pearl
7,Squirtle,145,Bubble,level-up,7,gold-silver
7,Squirtle,229,Rapid Spin,level-up,9,sword-shield
7,Squirtle,352,Water Pulse,level-up,15,sword-shield
7,Squirtle,401,Aqua Tail,level-up,24,sword-shield
7,Squirtle,834,Wave Crash,level-up,36,scarlet-violet
8,Wartortle,29,Headbutt,level-up,46,lets-go-pikachu-lets-go-eevee
8,Wartortle,33,Tackle,level-up,1,red-blue
8,Wartortle,44,Bite,level-up,12,sword-shield
8,Wartortle,55,Water Gun,level-up,1,x-y
8,Wartortle,56,Hydro Pump,level-up,44,diamond-pearl
8,Wartortle,61,Bubble Beam,level-up,33,lets-go-pikachu-lets-go-eevee
8,Wartortle,130,Skull Bash,level-up,36,diamond-pearl
8,Wartortle,145,Bubble,level-up,1,red-blue
8,Wartortle,229,Rapid Spin,level-up,9,sword-shield
8,Wartortle,352,Water Pulse,level-up,15,sword-shield
8,Wartortle,401,Aqua Tail,level-up,30,sword-shield
8,Wartortle,834,Wave Crash,level-up,50,scarlet-violet
9,Blastoise,29,Headbutt,level-up,54,lets-go-pikachu-lets-go-eevee
9,Blastoise,33,Tackle,level-up,1,lets-go-pikachu-lets-go-eevee
9,Blastoise,44,Bite,level-up,12,sword-shield
9,Blastoise,55,Water Gun,level-up,1,red-blue
9,Blastoise,56,Hydro Pump,level-up,49,sword-shield
9,Blastoise,61,Bubble Beam,level-up,33,lets-go-pikachu-lets-go-eevee
9,Blastoise,130,Skull Bash,level-up,39,diamond-pearl
9,Blastoise,145,Bubble,level-up,1,lets-go-pikachu-lets-go-eevee
9,Blastoise,229,Rapid Spin,level-up,9,sword-shield
9,Blastoise,252,Fake Out,level-up,1,lets-go-pikachu-lets-go-eevee
9,Blastoise,352,Water Pulse,level-up,15,sword-shield
9,Blastoise,401,Aqua Tail,level-up,30,sword-shield
9,Blastoise,430,Flash Cannon,level-up,0,sword-shield
9,Blastoise,453,Aqua Jet,level-up,1,lets-go-pikachu-lets-go-eevee
9,Blastoise,834,Wave Crash,level-up,56,scarlet-violet
10,Caterpie,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
10,Caterpie,450,Bug Bite,level-up,9,sun-moon
12,Butterfree,16,Gust,level-up,0,sun-moon
12,Butterfree,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
12,Butterfree,60,Psybeam,level-up,16,lets-go-pikachu-lets-go-eevee
12,Butterfree,93,Confusion,level-up,1,sun-moon
12,Butterfree,318,Silver Wind,level-up,19,sun-moon
12,Butterfree,403,Air Slash,level-up,24,sword-shield
12,Butterfree,405,Bug Buzz,level-up,31,sun-moon
12,Butterfree,450,Bug Bite,level-up,1,sword-shield
13,Weedle,40,Poison Sting,level-up,1,red-blue
13,Weedle,450,Bug Bite,level-up,9,sun-moon
15,Beedrill,31,Fury Attack,level-up,0,brilliant-diamond-shining-pearl
15,Beedrill,40,Poison Sting,level-up,1,brilliant-diamond-shining-pearl
15,Beedrill,41,Twineedle,level-up,0,sun-moon
15,Beedrill,42,Pin Missile,level-up,28,diamond-pearl
15,Beedrill,64,Peck,level-up,1,lets-go-pikachu-lets-go-eevee
15,Beedrill,99,Rage,level-up,13,lets-go-pikachu-lets-go-eevee
15,Beedrill,200,Outrage,level-up,31,lets-go-pikachu-lets-go-eevee
15,Beedrill,210,Fury Cutter,level-up,11,brilliant-diamond-shining-pearl
15,Beedrill,228,Pursuit,level-up,17,sun-moon
15,Beedrill,372,Assurance,level-up,26,sun-moon
15,Beedrill,398,Poison Jab,level-up,22,lets-go-pikachu-lets-go-eevee
15,Beedrill,450,Bug Bite,level-up,1,brilliant-diamond-shining-pearl
15,Beedrill,474,Venoshock,level-up,23,sun-moon
15,Beedrill,565,Fell Stinger,level-up,44,sun-moon
16,Pidgey,13,Razor Wind,level-up,29,lets-go-pikachu-lets-go-eevee
16,Pidgey,16,Gust,level-up,1,red-blue
16,Pidgey,17,Wing Attack,level-up,15,lets-go-pikachu-lets-go-eevee
16,Pidgey,33,Tackle,level-up,1,gold-silver
16,Pidgey,98,Quick Attack,level-up,11,lets-go-pikachu-lets-go-eevee
16,Pidgey,239,Twister,level-up,21,diamond-pearl
16,Pidgey,332,Aerial Ace,level-up,45,brilliant-diamond-shining-pearl
16,Pidgey,403,Air Slash,level-up,27,lets-go-pikachu-lets-go-eevee
16,Pidgey,542,Hurricane,level-up,53,black-white
17,Pidgeotto,13,Razor Wind,level-up,45,lets-go-pikachu-lets-go-eevee
17,Pidgeotto,16,Gust,level-up,1,gold-silver
17,Pidgeotto,17,Wing Attack,level-up,15,lets-go-pikachu-lets-go-eevee
17,Pidgeotto,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
17,Pidgeotto,98,Quick Attack,level-up,1,lets-go-pikachu-lets-go-eevee
17,Pidgeotto,239,Twister,level-up,22,diamond-pearl
17,Pidgeotto,332,Aerial Ace,level-up,52,brilliant-diamond-shining-pearl
17,Pidgeotto,403,Air Slash,level-up,39,lets-go-pikachu-lets-go-eevee
17,Pidgeotto,542,Hurricane,level-up,62,black-white
18,Pidgeot,13,Razor Wind,level-up,53,lets-go-pikachu-lets-go-eevee
18,Pidgeot,16,Gust,level-up,1,lets-go-pikachu-lets-go-eevee
18,Pidgeot,17,Wing Attack,level-up,15,lets-go-pikachu-lets-go-eevee
18,Pidgeot,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
18,Pidgeot,98,Quick Attack,level-up,1,lets-go-pikachu-lets-go-eevee
18,Pidgeot,143,Sky Attack,level-up,1,lets-go-pikachu-lets-go-eevee
18,Pidgeot,239,Twister,level-up,22,diamond-pearl
18,Pidgeot,257,Heat Wave,level-up,1,lets-go-pikachu-lets-go-eevee
18,Pidgeot,332,Aerial Ace,level-up,56,brilliant-diamond-shining-pearl
18,Pidgeot,403,Air Slash,level-up,43,lets-go-pikachu-lets-go-eevee
18,Pidgeot,542,Hurricane,level-up,1,brilliant-diamond-shining-pearl
19,Rattata,33,Tackle,level-up,1,red-blue
19,Rattata,36,Take Down,level-up,16,brilliant-diamond-shining-pearl
19,Rattata,38,Double-Edge,level-up,27,lets-go-pikachu-lets-go-eevee
19,Rattata,44,Bite,level-up,10,diamond-pearl
19,Rattata,98,Quick Attack,level-up,4,diamond-pearl
19,Rattata,158,Hyper Fang,level-up,13,gold-silver
19,Rattata,228,Pursuit,level-up,13,diamond-pearl
19,Rattata,242,Crunch,level-up,18,lets-go-pikachu-lets-go-eevee
19,Rattata,372,Assurance,level-up,19,sun-moon
19,Rattata,389,Sucker Punch,level-up,19,diamond-pearl
20,Raticate,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
20,Raticate,36,Take Down,level-up,16,brilliant-diamond-shining-pearl
20,Raticate,38,Double-Edge,level-up,39,diamond-pearl
20,Raticate,44,Bite,level-up,10,diamond-pearl
20,Raticate,98,Quick Attack,level-up,1,lets-go-pikachu-lets-go-eevee
20,Raticate,154,Fury Swipes,level-up,1,lets-go-pikachu-lets-go-eevee
20,Raticate,158,Hyper Fang,level-up,13,gold-silver
20,Raticate,228,Pursuit,level-up,13,diamond-pearl
20,Raticate,242,Crunch,level-up,18,lets-go-pikachu-lets-go-eevee
20,Raticate,372,Assurance,level-up,19,sun-moon
20,Raticate,389,Sucker Punch,level-up,19,diamond-pearl
21,Spearow,17,Wing Attack,level-up,18,brilliant-diamond-shining-pearl
21,Spearow,31,Fury Attack,level-up,9,diamond-pearl
21,Spearow,36,Take Down,level-up,22,brilliant-diamond-shining-pearl
21,Spearow,64,Peck,level-up,1,brilliant-diamond-shining-pearl
21,Spearow,65,Drill Peck,level-up,29,red-blue
21,Spearow,228,Pursuit,level-up,8,sun-moon
21,Spearow,332,Aerial Ace,level-up,15,sun-moon
21,Spearow,372,Assurance,level-up,8,brilliant-diamond-shining-pearl
22,Fearow,17,Wing Attack,level-up,18,brilliant-diamond-shining-pearl
22,Fearow,31,Fury Attack,level-up,1,x-y
22,Fearow,36,Take Down,level-up,23,brilliant-diamond-shining-pearl
22,Fearow,64,Peck,level-up,1,lets-go-pikachu-lets-go-eevee
22,Fearow,65,Drill Peck,level-up,34,red-blue
22,Fearow,98,Quick Attack,level-up,1,lets-go-pikachu-lets-go-eevee
22,Fearow,143,Sky Attack,level-up,1,lets-go-pikachu-lets-go-eevee
22,Fearow,228,Pursuit,level-up,1,sun-moon
22,Fearow,332,Aerial Ace,level-up,15,sun-moon
22,Fearow,365,Pluck,level-up,1,brilliant-diamond-shining-pearl
22,Fearow,372,Assurance,level-up,8,brilliant-diamond-shining-pearl
22,Fearow,529,Drill Run,level-up,1,lets-go-pikachu-lets-go-eevee
23,Ekans,21,Slam,level-up,28,lets-go-pikachu-lets-go-eevee
23,Ekans,35,Wrap,level-up,1,brilliant-diamond-shining-pearl
23,Ekans,40,Poison Sting,level-up,1,lets-go-pikachu-lets-go-eevee
23,Ekans,44,Bite,level-up,9,diamond-pearl
23,Ekans,51,Acid,level-up,8,lets-go-pikachu-lets-go-eevee
23,Ekans,188,Sludge Bomb,level-up,33,brilliant-diamond-shining-pearl
23,Ekans,398,Poison Jab,level-up,24,lets-go-pikachu-lets-go-eevee
23,Ekans,426,Mud Bomb,level-up,28,diamond-pearl
23,Ekans,441,Gunk Shot,level-up,41,diamond-pearl
23,Ekans,491,Acid Spray,level-up,28,black-white
23,Ekans,562,Belch,level-up,38,x-y
24,Arbok,21,Slam,level-up,36,lets-go-pikachu-lets-go-eevee
24,Arbok,35,Wrap,level-up,1,brilliant-diamond-shining-pearl
24,Arbok,40,Poison Sting,level-up,1,sun-moon
24,Arbok,44,Bite,level-up,1,sun-moon
24,Arbok,51,Acid,level-up,1,lets-go-pikachu-lets-go-eevee
24,Arbok,188,Sludge Bomb,level-up,39,brilliant-diamond-shining-pearl
24,Arbok,242,Crunch,level-up,0,sun-moon
24,Arbok,389,Sucker Punch,level-up,1,lets-go-pikachu-lets-go-eevee
24,Arbok,398,Poison Jab,level-up,28,lets-go-pikachu-lets-go-eevee
24,Arbok,422,Thunder Fang,level-up,1,brilliant-diamond-shining-pearl
24,Arbok,423,Ice Fang,level-up,1,scarlet-violet
24,Arbok,424,Fire Fang,level-up,1,scarlet-violet
24,Arbok,426,Mud Bomb,level-up,34,diamond-pearl
24,Arbok,441,Gunk Shot,level-up,56,diamond-pearl
24,Arbok,491,Acid Spray,level-up,32,black-white
24,Arbok,562,Belch,level-up,48,x-y
25,Pikachu,21,Slam,level-up,20,yellow
25,Pikachu,24,Double Kick,level-up,9,lets-go-pikachu-lets-go-eevee
25,Pikachu,84,Thunder Shock,level-up,1,brilliant-diamond-shining-pearl
25,Pikachu,85,Thunderbolt,level-up,21,lets-go-pikachu-lets-go-eevee
25,Pikachu,87,Thunder,level-up,30,lets-go-pikachu-lets-go-eevee
25,Pikachu,98,Quick Attack,level-up,1,sword-shield
25,Pikachu,129,Swift,level-up,15,legends-arceus
25,Pikachu,209,Spark,level-up,20,sword-shield
25,Pikachu,231,Iron Tail,level-up,28,scarlet-violet
25,Pikachu,364,Feint,level-up,16,sword-shield
25,Pikachu,435,Discharge,level-up,32,sword-shield
25,Pikachu,528,Wild Charge,level-up,50,omega-ruby-alpha-sapphire
25,Pikachu,609,Nuzzle,level-up,1,brilliant-diamond-shining-pearl
26,Raichu,9,Thunder Punch,level-up,0,lets-go-pikachu-lets-go-eevee
26,Raichu,21,Slam,level-up,1,sword-shield
26,Raichu,84,Thunder Shock,level-up,1,brilliant-diamond-shining-pearl
26,Raichu,85,Thunderbolt,level-up,1,brilliant-diamond-shining-pearl
26,Raichu,87,Thunder,level-up,1,sword-shield
26,Raichu,98,Quick Attack,level-up,1,sword-shield
26,Raichu,129,Swift,level-up,15,legends-arceus
26,Raichu,209,Spark,level-up,1,brilliant-diamond-shining-pearl
26,Raichu,231,Iron Tail,level-up,1,scarlet-violet
26,Raichu,252,Fake Out,level-up,1,lets-go-pikachu-lets-go-eevee
26,Raichu,364,Feint,level-up,1,sword-shield
26,Raichu,435,Discharge,level-up,1,sword-shield
26,Raichu,609,Nuzzle,level-up,1,brilliant-diamond-shining-pearl
27,Sandshrew,10,Scratch,level-up,1,brilliant-diamond-shining-pearl
27,Sandshrew,40,Poison Sting,level-up,3,sword-shield
27,Sandshrew,89,Earthquake,level-up,36,lets-go-pikachu-lets-go-eevee
27,Sandshrew,91,Dig,level-up,20,lets-go-pikachu-lets-go-eevee
27,Sandshrew,129,Swift,level-up,11,black-2-white-2
27,Sandshrew,154,Fury Swipes,level-up,16,lets-go-pikachu-lets-go-eevee
27,Sandshrew,163,Slash,level-up,17,red-blue
27,Sandshrew,205,Rollout,level-up,7,black-2-white-2
27,Sandshrew,210,Fury Cutter,level-up,11,omega-ruby-alpha-sapphire
27,Sandshrew,229,Rapid Spin,level-up,9,black-2-white-2
27,Sandshrew,328,Sand Tomb,level-up,23,black-2-white-2
27,Sandshrew,523,Bulldoze,level-up,18,sword-shield
28,Sandslash,10,Scratch,level-up,1,brilliant-diamond-shining-pearl
28,Sandslash,40,Poison Sting,level-up,1,sun-moon
28,Sandslash,89,Earthquake,level-up,46,black-2-white-2
28,Sandslash,91,Dig,level-up,20,lets-go-pikachu-lets-go-eevee
28,Sandslash,129,Swift,level-up,11,black-2-white-2
28,Sandslash,154,Fury Swipes,level-up,16,lets-go-pikachu-lets-go-eevee
28,Sandslash,163,Slash,level-up,17,red-blue
28,Sandslash,205,Rollout,level-up,7,black-2-white-2
28,Sandslash,210,Fury Cutter,level-up,11,omega-ruby-alpha-sapphire
28,Sandslash,229,Rapid Spin,level-up,9,black-2-white-2
28,Sandslash,306,Crush Claw,level-up,0,sun-moon
28,Sandslash,328,Sand Tomb,level-up,23,black-2-white-2
28,Sandslash,523,Bulldoze,level-up,18,sword-shield
29,Nidoran♀,10,Scratch,level-up,1,ruby-sapphire
29,Nidoran♀,24,Double Kick,level-up,9,diamond-pearl
29,Nidoran♀,33,Tackle,level-up,1,red-blue
29,Nidoran♀,40,Poison Sting,level-up,1,sword-shield
29,Nidoran♀,44,Bite,level-up,12,lets-go-pikachu-lets-go-eevee
29,Nidoran♀,154,Fury Swipes,level-up,15,sword-shield
29,Nidoran♀,242,Crunch,level-up,24,lets-go-pikachu-lets-go-eevee
29,Nidoran♀,305,Poison Fang,level-up,45,diamond-pearl
29,Nidoran♀,414,Earth Power,level-up,55,sword-shield
30,Nidorina,10,Scratch,level-up,1,red-blue
30,Nidorina,24,Double Kick,level-up,9,diamond-pearl
30,Nidorina,33,Tackle,level-up,1,red-blue
30,Nidorina,40,Poison Sting,level-up,1,lets-go-pikachu-lets-go-eevee
30,Nidorina,44,Bite,level-up,12,lets-go-pikachu-lets-go-eevee
30,Nidorina,154,Fury Swipes,level-up,15,sword-shield
30,Nidorina,242,Crunch,level-up,39,lets-go-pikachu-lets-go-eevee
30,Nidorina,305,Poison Fang,level-up,58,diamond-pearl
30,Nidorina,414,Earth Power,level-up,71,sword-shield
31,Nidoqueen,10,Scratch,level-up,1,sword-shield
31,Nidoqueen,24,Double Kick,level-up,1,x-y
31,Nidoqueen,33,Tackle,level-up,1,red-blue
31,Nidoqueen,34,Body Slam,level-up,0,lets-go-pikachu-lets-go-eevee
31,Nidoqueen,40,Poison Sting,level-up,1,sword-shield
31,Nidoqueen,44,Bite,level-up,1,sword-shield
31,Nidoqueen,154,Fury Swipes,level-up,1,brilliant-diamond-shining-pearl
31,Nidoqueen,242,Crunch,level-up,1,sword-shield
31,Nidoqueen,276,Superpower,level-up,0,sword-shield
31,Nidoqueen,414,Earth Power,level-up,1,sword-shield
31,Nidoqueen,482,Sludge Wave,level-up,1,brilliant-diamond-shining-pearl
31,Nidoqueen,498,Chip Away,level-up,23,black-white
32,Nidoran♂,24,Double Kick,level-up,9,diamond-pearl
32,Nidoran♂,30,Horn Attack,level-up,8,red-blue
32,Nidoran♂,31,Fury Attack,level-up,15,sword-shield
32,Nidoran♂,33,Tackle,level-up,1,red-blue
32,Nidoran♂,40,Poison Sting,level-up,1,sword-shield
32,Nidoran♂,64,Peck,level-up,1,ruby-sapphire
32,Nidoran♂,398,Poison Jab,level-up,24,lets-go-pikachu-lets-go-eevee
32,Nidoran♂,414,Earth Power,level-up,55,sword-shield
33,Nidorino,24,Double Kick,level-up,9,diamond-pearl
33,Nidorino,30,Horn Attack,level-up,1,red-blue
33,Nidorino,31,Fury Attack,level-up,15,sword-shield
33,Nidorino,33,Tackle,level-up,1,red-blue
33,Nidorino,40,Poison Sting,level-up,1,lets-go-pikachu-lets-go-eevee
33,Nidorino,64,Peck,level-up,1,sword-shield
33,Nidorino,398,Poison Jab,level-up,39,lets-go-pikachu-lets-go-eevee
33,Nidorino,414,Earth Power,level-up,71,sword-shield
34,Nidoking,24,Double Kick,level-up,1,x-y
34,Nidoking,30,Horn Attack,level-up,1,brilliant-diamond-shining-pearl
34,Nidoking,31,Fury Attack,level-up,1,brilliant-diamond-shining-pearl
34,Nidoking,33,Tackle,level-up,1,red-blue
34,Nidoking,37,Thrash,level-up,0,lets-go-pikachu-lets-go-eevee
34,Nidoking,40,Poison Sting,level-up,1,sword-shield
34,Nidoking,64,Peck,level-up,1,sword-shield
34,Nidoking,224,Megahorn,level-up,0,sword-shield
34,Nidoking,398,Poison Jab,level-up,1,brilliant-diamond-shining-pearl
34,Nidoking,414,Earth Power,level-up,1,sword-shield
34,Nidoking,482,Sludge Wave,level-up,1,brilliant-diamond-shining-pearl
34,Nidoking,498,Chip Away,level-up,23,black-white
35,Clefairy,1,Pound,level-up,1,sword-shield
35,Clefairy,3,Double Slap,level-up,10,diamond-pearl
35,Clefairy,33,Tackle,level-up,1,legends-arceus
35,Clefairy,34,Body Slam,level-up,24,lets-go-pikachu-lets-go-eevee
35,Clefairy,38,Double-Edge,level-up,47,legends-arceus
35,Clefairy,94,Psychic,level-up,29,legends-arceus
35,Clefairy,309,Meteor Mash,level-up,32,sword-shield
35,Clefairy,358,Wake-Up Slap,level-up,22,diamond-pearl
35,Clefairy,500,Stored Power,level-up,4,sword-shield
35,Clefairy,574,Disarming Voice,level-up,1,scarlet-violet
35,Clefairy,577,Draining Kiss,level-up,15,legends-arceus
35,Clefairy,584,Fairy Wind,level-up,5,legends-arceus
35,Clefairy,585,Moonblast,level-up,28,lets-go-pikachu-lets-go-eevee
36,Clefable,1,Pound,level-up,1,sword-shield
36,Clefable,3,Double Slap,level-up,1,sun-moon
36,Clefable,33,Tackle,level-up,1,legends-arceus
36,Clefable,38,Double-Edge,level-up,47,legends-arceus
36,Clefable,94,Psychic,level-up,29,legends-arceus
36,Clefable,309,Meteor Mash,level-up,1,sword-shield
36,Clefable,500,Stored Power,level-up,1,brilliant-diamond-shining-pearl
36,Clefable,574,Disarming Voice,level-up,1,brilliant-diamond-shining-pearl
36,Clefable,577,Draining Kiss,level-up,15,legends-arceus
36,Clefable,584,Fairy Wind,level-up,5,legends-arceus
36,Clefable,585,Moonblast,level-up,1,sword-shield
37,Vulpix,33,Tackle,level-up,1,lets-go-pikachu-lets-go-eevee
37,Vulpix,52,Ember,level-up,1,scarlet-violet
37,Vulpix,53,Flamethrower,level-up,24,diamond-pearl
37,Vulpix,83,Fire Spin,level-up,12,black-2-white-2
37,Vulpix,98,Quick Attack,level-up,5,legends-arceus
37,Vulpix,126,Fire Blast,level-up,31,lets-go-pikachu-lets-go-eevee
37,Vulpix,172,Flame Wheel,level-up,15,legends-arceus
37,Vulpix,185,Feint Attack,level-up,20,black-2-white-2
37,Vulpix,326,Extrasensory,level-up,28,sword-shield
37,Vulpix,371,Payback,level-up,18,omega-ruby-alpha-sapphire
37,Vulpix,481,Flame Burst,level-up,23,black-2-white-2
37,Vulpix,506,Hex,level-up,21,legends-arceus
37,Vulpix,510,Incinerate,level-up,16,sword-shield
37,Vulpix,517,Inferno,level-up,44,black-white
38,Ninetales,33,Tackle,level-up,1,lets-go-pikachu-lets-go-eevee
38,Ninetales,52,Ember,level-up,1,sword-shield
38,Ninetales,53,Flamethrower,level-up,1,sword-shield
38,Ninetales,83,Fire Spin,level-up,1,sword-shield
38,Ninetales,98,Quick Attack,level-up,1,sword-shield
38,Ninetales,126,Fire Blast,level-up,1,sword-shield
38,Ninetales,172,Flame Wheel,level-up,15,legends-arceus
38,Ninetales,326,Extrasensory,level-up,1,sword-shield
38,Ninetales,506,Hex,level-up,21,legends-arceus
38,Ninetales,510,Incinerate,level-up,1,brilliant-diamond-shining-pearl
38,Ninetales,517,Inferno,level-up,1,sword-shield
39,Jigglypuff,1,Pound,level-up,1,scarlet-violet
39,Jigglypuff,3,Double Slap,level-up,12,lets-go-pikachu-lets-go-eevee
39,Jigglypuff,34,Body Slam,level-up,22,lets-go-pikachu-lets-go-eevee
39,Jigglypuff,38,Double-Edge,level-up,28,lets-go-pikachu-lets-go-eevee
39,Jigglypuff,205,Rollout,level-up,17,diamond-pearl
39,Jigglypuff,304,Hyper Voice,level-up,36,sword-shield
39,Jigglypuff,343,Covet,level-up,8,sword-shield
39,Jigglypuff,358,Wake-Up Slap,level-up,27,sun-moon
39,Jigglypuff,496,Round,level-up,16,sword-shield
39,Jigglypuff,497,Echoed Voice,level-up,4,sword-shield
39,Jigglypuff,574,Disarming Voice,level-up,1,brilliant-diamond-shining-pearl
39,Jigglypuff,583,Play Rough,level-up,40,sword-shield
40,Wigglytuff,1,Pound,level-up,1,sword-shield
40,Wigglytuff,3,Double Slap,level-up,1,x-y
40,Wigglytuff,34,Body Slam,level-up,1,scarlet-violet
40,Wigglytuff,38,Double-Edge,level-up,1,scarlet-violet
40,Wigglytuff,304,Hyper Voice,level-up,1,sword-shield
40,Wigglytuff,343,Covet,level-up,1,sword-shield
40,Wigglytuff,496,Round,level-up,1,brilliant-diamond-shining-pearl
40,Wigglytuff,497,Echoed Voice,level-up,1,brilliant-diamond-shining-pearl
40,Wigglytuff,574,Disarming Voice,level-up,1,scarlet-violet
40,Wigglytuff,583,Play Rough,level-up,1,sword-shield
41,Zubat,16,Gust,level-up,1,legends-arceus
41,Zubat,17,Wing Attack,level-up,4,lets-go-pikachu-lets-go-eevee
41,Zubat,44,Bite,level-up,9,lets-go-pikachu-lets-go-eevee
41,Zubat,71,Absorb,level-up,1,lets-go-pikachu-lets-go-eevee
41,Zubat,129,Swift,level-up,12,lets-go-pikachu-lets-go-eevee
41,Zubat,141,Leech Life,level-up,1,red-blue
41,Zubat,305,Poison Fang,level-up,15,sword-shield
41,Zubat,310,Astonish,level-up,5,sword-shield
41,Zubat,314,Air Cutter,level-up,18,legends-arceus
41,Zubat,403,Air Slash,level-up,33,lets-go-pikachu-lets-go-eevee
41,Zubat,440,Cross Poison,level-up,25,legends-arceus
